 NAME      TYPE  VAL
  int   KEYWORD    3
    a     VALUE    1
    ; SEPARATOR   18
  int   KEYWORD    3
    b     VALUE    2
    ; SEPARATOR   18
  int   KEYWORD    3
    c     VALUE    3
    ; SEPARATOR   18
  int   KEYWORD    3
    d     VALUE    4
    ; SEPARATOR   18
    a     VALUE    1
    = OPERATION   13
    2    NUMBER    5
    ; SEPARATOR   18
    b     VALUE    2
    = OPERATION   13
    1    NUMBER    6
    ; SEPARATOR   18
    a     VALUE    1
    = OPERATION   13
    ( SEPARATOR   19
    ( SEPARATOR   19
    b     VALUE    2
    + OPERATION   14
    c     VALUE    3
    ) SEPARATOR   20
    / OPERATION   17
    a     VALUE    1
    + OPERATION   14
    d     VALUE    4
    ) SEPARATOR   20
    * OPERATION   16
    3    NUMBER    7
    ; SEPARATOR   18
   if   KEYWORD    0
    ( SEPARATOR   19
    a     VALUE    1
    < OPERATION   12
    b     VALUE    2
    ) SEPARATOR   20
    d     VALUE    4
    = OPERATION   13
    a     VALUE    1
    + OPERATION   14
    b     VALUE    2
    ; SEPARATOR   18
while   KEYWORD    2
    ( SEPARATOR   19
    c     VALUE    3
   == OPERATION    7
    b     VALUE    2
    ) SEPARATOR   20
   if   KEYWORD    0
    ( SEPARATOR   19
    a     VALUE    1
    > OPERATION   11
    d     VALUE    4
    ) SEPARATOR   20
    c     VALUE    3
    = OPERATION   13
    a     VALUE    1
    + OPERATION   14
    b     VALUE    2
    ; SEPARATOR   18
 else   KEYWORD    1
    c     VALUE    3
    = OPERATION   13
    a     VALUE    1
    - OPERATION   15
    b     VALUE    2
    ; SEPARATOR   18
